customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ChurnProbability,PredictedChurn,RiskLevel,HighValueCustomer,RetentionPriority,RecommendedAction
3655-SNQYZ,Female,0,Yes,Yes,69,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,0,0.08819962140602612,0,Low Risk,True,Low Priority,Conduct plan review or provide personalized retention offer
8191-XWSZG,Female,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,0,0.03228728688661873,0,Low Risk,False,Low Priority,Use loyalty and customer-engagement campaign
9959-WOFKT,Male,0,No,Yes,71,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,0,0.10771776409198952,0,Low Risk,True,Low Priority,Conduct plan review or provide personalized retention offer | Offer trial or discounted technical support
4183-MYFRB,Female,0,No,No,21,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,0,0.7837233500974969,1,Very High Risk,True,Priority 1,Offer incentive to move to a long-term contract | Encourage automatic payment adoption | Conduct plan review or provide personalized retention offer
1680-VDCWW,Male,0,Yes,No,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,0,0.15760637513892065,0,Low Risk,False,Low Priority,Provide proactive onboarding and early engagement
3638-WEABW,Female,0,Yes,No,58,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,0,0.047430806615741165,0,Low Risk,False,Low Priority,Promote bundled online security services
6322-HRPFA,Male,0,Yes,Yes,49,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,0,0.0804903953134894,0,Low Risk,False,Low Priority,Offer incentive to move to a long-term contract
6865-JZNKO,Female,0,No,No,30,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,0,0.2678943775853471,0,Medium Risk,False,Monitor,Offer incentive to move to a long-term contract | Offer trial or discounted technical support
5248-YGIJN,Male,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,0,0.04569209967050768,0,Low Risk,True,Low Priority,Conduct plan review or provide personalized retention offer
3841-NFECX,Female,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,0,0.07540862059509344,0,Low Risk,True,Low Priority,Conduct plan review or provide personalized retention offer
4929-XIHVW,Male,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,0,0.8794988028425577,1,Very High Risk,True,Priority 1,Offer incentive to move to a long-term contract | Provide proactive onboarding and early engagement | Conduct plan review or provide personalized retention offer
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,0,0.08004983957447977,0,Low Risk,False,Low Priority,Use loyalty and customer-engagement campaign
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,0,0.3773092707666124,0,Medium Risk,False,Monitor,Offer incentive to move to a long-term contract | Provide proactive onboarding and early engagement
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,0,0.6172644673293872,1,High Risk,False,Priority 3,Offer incentive to move to a long-term contract | Provide proactive onboarding and early engagement | Offer trial or discounted technical support
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,0,0.054174405035126286,0,Low Risk,True,Low Priority,Conduct plan review or provide personalized retention offer
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,0,0.5001619111089449,1,High Risk,False,Priority 3,Offer incentive to move to a long-term contract | Offer trial or discounted technical support | Promote bundled online security services
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,0,0.263000814127727,0,Medium Risk,False,Monitor,Provide proactive onboarding and early engagement | Offer trial or discounted technical support | Promote bundled online security services
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,0,0.034554081505491066,0,Low Risk,False,Low Priority,Offer trial or discounted technical support
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,0,0.10902896706162485,0,Low Risk,False,Low Priority,Use loyalty and customer-engagement campaign
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,0,0.03848457327173656,0,Low Risk,False,Low Priority,Use loyalty and customer-engagement campaign
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,0,0.541113713626323,1,High Risk,False,Priority 3,Offer incentive to move to a long-term contract | Encourage automatic payment adoption
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,0,0.7056629842894283,1,High Risk,False,Priority 3,Offer incentive to move to a long-term contract | Encourage automatic payment adoption | Offer trial or discounted technical support
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,0,0.552944255187889,1,High Risk,False,Priority 3,Offer incentive to move to a long-term contract | Provide proactive onboarding and early engagement | Offer trial or discounted technical support
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,0,0.08709390406336032,0,Low Risk,False,Low Priority,Use loyalty and customer-engagement campaign
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,0,0.020393193332875398,0,Low Risk,False,Low Priority,Use loyalty and customer-engagement campaign
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,0,0.7471038263537277,1,High Risk,True,Priority 2,Offer incentive to move to a long-term contract | Encourage automatic payment adoption | Conduct plan review or provide personalized retention offer
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,0,0.4337451705806948,0,Medium Risk,False,Monitor,Offer incentive to move to a long-term contract
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,0,0.06166337655901401,0,Low Risk,False,Low Priority,Use loyalty and customer-engagement campaign
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,0,0.30517307911404334,0,Medium Risk,True,Monitor,Conduct plan review or provide personalized retention offer | Offer trial or discounted technical support
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,0,0.42081928586338474,0,Medium Risk,True,Monitor,Encourage automatic payment adoption | Conduct plan review or provide personalized retention offer | Promote bundled online security services
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,0,0.035615095083861126,0,Low Risk,False,Low Priority,Use loyalty and customer-engagement campaign
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,0,0.1846496708489455,0,Low Risk,True,Low Priority,Conduct plan review or provide personalized retention offer | Promote bundled online security services
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,0,0.7845116407176923,1,Very High Risk,True,Priority 1,Offer incentive to move to a long-term contract | Encourage automatic payment adoption | Conduct plan review or provide personalized retention offer
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,0,0.528913317316014,1,High Risk,True,Priority 2,Offer incentive to move to a long-term contract | Conduct plan review or provide personalized retention offer | Offer trial or discounted technical support
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,0,0.018498033015884978,0,Low Risk,False,Low Priority,Offer trial or discounted technical support
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,0,0.21541607584811637,0,Low Risk,False,Low Priority,Promote bundled online security services
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,0,0.7142043762792736,1,High Risk,False,Priority 3,Offer incentive to move to a long-term contract | Encourage automatic payment adoption | Provide proactive onboarding and early engagement
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,0,0.4628238097024659,0,Medium Risk,False,Monitor,Encourage automatic payment adoption | Offer trial or discounted technical support | Promote bundled online security services
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,0,0.11369130378665764,0,Low Risk,False,Low Priority,Promote bundled online security services
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,0,0.013563419375333778,0,Low Risk,False,Low Priority,Use loyalty and customer-engagement campaign
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,0,0.6866098296259715,1,High Risk,False,Priority 3,Offer incentive to move to a long-term contract | Provide proactive onboarding and early engagement | Offer trial or discounted technical support
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,0,0.515455540800636,1,High Risk,False,Priority 3,Offer incentive to move to a long-term contract | Provide proactive onboarding and early engagement | Promote bundled online security services
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,0,0.0518725015818846,0,Low Risk,False,Low Priority,Encourage automatic payment adoption
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,0,0.1554083755011443,0,Low Risk,True,Low Priority,Conduct plan review or provide personalized retention offer
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,0,0.01611251761697445,0,Low Risk,False,Low Priority,Use loyalty and customer-engagement campaign
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,0,0.45446910561254994,0,Medium Risk,False,Monitor,Offer incentive to move to a long-term contract | Provide proactive onboarding and early engagement
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,0,0.41630326676743473,0,Medium Risk,True,Monitor,Encourage automatic payment adoption | Conduct plan review or provide personalized retention offer | Offer trial or discounted technical support
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,0,0.1476201168848038,0,Low Risk,False,Low Priority,Offer trial or discounted technical support | Promote bundled online security services
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,0,0.3391685231841693,0,Medium Risk,False,Monitor,Offer incentive to move to a long-term contract | Provide proactive onboarding and early engagement | Offer trial or discounted technical support
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,0,0.545717111529264,1,High Risk,False,Priority 3,Offer incentive to move to a long-term contract | Encourage automatic payment adoption | Offer trial or discounted technical support
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,0,0.06116799201835697,0,Low Risk,False,Low Priority,Use loyalty and customer-engagement campaign
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,0,0.6630735423373144,1,High Risk,False,Priority 3,Offer incentive to move to a long-term contract | Encourage automatic payment adoption | Provide proactive onboarding and early engagement
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,0,0.5798190700940757,1,High Risk,True,Priority 2,Offer incentive to move to a long-term contract | Conduct plan review or provide personalized retention offer | Promote bundled online security services
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,0,0.02492540665358599,0,Low Risk,False,Low Priority,Use loyalty and customer-engagement campaign
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,0,0.8588090509583486,1,Very High Risk,True,Priority 1,Offer incentive to move to a long-term contract | Provide proactive onboarding and early engagement | Conduct plan review or provide personalized retention offer
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,0,0.18493220323438786,0,Low Risk,False,Low Priority,Offer trial or discounted technical support
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,0,0.015045826588790478,0,Low Risk,False,Low Priority,Use loyalty and customer-engagement campaign
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,0,0.02406205357364547,0,Low Risk,False,Low Priority,Use loyalty and customer-engagement campaign
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,0,0.5195518067486791,1,High Risk,False,Priority 3,Offer incentive to move to a long-term contract | Offer trial or discounted technical support | Promote bundled online security services
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,0,0.4489250962574286,0,Medium Risk,False,Monitor,Offer incentive to move to a long-term contract | Offer trial or discounted technical support | Promote bundled online security services
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,0,0.7893328572674788,1,Very High Risk,False,Priority 2,Offer incentive to move to a long-term contract | Encourage automatic payment adoption | Provide proactive onboarding and early engagement
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,0,0.05359456356401767,0,Low Risk,False,Low Priority,Use loyalty and customer-engagement campaign
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,0,0.4842010537007746,0,Medium Risk,True,Monitor,Offer incentive to move to a long-term contract | Conduct plan review or provide personalized retention offer | Offer trial or discounted technical support
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,0,0.24239829376161273,0,Low Risk,True,Low Priority,Conduct plan review or provide personalized retention offer | Offer trial or discounted technical support | Promote bundled online security services
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,0,0.035058099820631974,0,Low Risk,False,Low Priority,Use loyalty and customer-engagement campaign
3212-KXOCR,Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,0,0.015904007723675475,0,Low Risk,False,Low Priority,Use loyalty and customer-engagement campaign
6380-ARCEH,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,0,0.3904433403297459,0,Medium Risk,False,Monitor,Offer incentive to move to a long-term contract | Provide proactive onboarding and early engagement
3679-XASPY,Female,0,Yes,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,0,0.421087657574145,0,Medium Risk,False,Monitor,Offer incentive to move to a long-term contract | Encourage automatic payment adoption | Provide proactive onboarding and early engagement
7123-WQUHX,Male,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,0,0.3649127774845904,0,Medium Risk,True,Monitor,Conduct plan review or provide personalized retention offer | Promote bundled online security services
5386-THSLQ,Female,1,Yes,No,66,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,0,0.10353020200978975,0,Low Risk,False,Low Priority,Offer trial or discounted technical support | Promote bundled online security services
6180-YBIQI,Male,0,No,No,5,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,24.3,100.2,0,0.6814362972405124,1,High Risk,False,Priority 3,Offer incentive to move to a long-term contract | Provide proactive onboarding and early engagement | Offer trial or discounted technical support
6728-DKUCO,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,104.15,7303.05,0,0.3145143691275724,0,Medium Risk,True,Monitor,Encourage automatic payment adoption | Conduct plan review or provide personalized retention offer | Offer trial or discounted technical support
9750-BOOHV,Female,0,No,No,32,No,No phone service,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,30.15,927.65,0,0.17636451713898219,0,Low Risk,False,Low Priority,Offer trial or discounted technical support
8597-CWYHH,Male,0,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,94.35,3921.3,0,0.500329800319572,1,High Risk,True,Priority 2,Conduct plan review or provide personalized retention offer | Offer trial or discounted technical support | Promote bundled online security services
2848-YXSMW,Male,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),19.4,1363.25,0,0.0056606512623933805,0,Low Risk,False,Low Priority,Use loyalty and customer-engagement campaign
4549-ZDQYY,Female,0,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),57.95,3042.25,0,0.049918617422011605,0,Low Risk,False,Low Priority,Use loyalty and customer-engagement campaign
5712-AHQNN,Female,0,No,No,43,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,91.65,3954.1,0,0.6514076691282693,1,High Risk,True,Priority 2,Offer incentive to move to a long-term contract | Encourage automatic payment adoption | Conduct plan review or provide personalized retention offer
5256-SKJGO,Female,0,Yes,Yes,64,No,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,54.6,3423.5,0,0.08556896183405636,0,Low Risk,False,Low Priority,Encourage automatic payment adoption | Promote bundled online security services
3071-VBYPO,Male,0,Yes,Yes,3,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,89.85,248.4,0,0.7069625445332696,1,High Risk,True,Priority 2,Offer incentive to move to a long-term contract | Encourage automatic payment adoption | Provide proactive onboarding and early engagement
9560-BBZXK,Female,0,No,No,36,No,No phone service,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),31.05,1126.35,0,0.07730054136038583,0,Low Risk,False,Low Priority,Offer trial or discounted technical support
8402-OOOHJ,Female,0,No,No,41,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.65,835.15,0,0.025742091188104756,0,Low Risk,False,Low Priority,Use loyalty and customer-engagement campaign
9445-ZUEQE,Male,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),85.2,2151.6,0,0.5425914787462806,1,High Risk,False,Priority 3,Offer incentive to move to a long-term contract | Promote bundled online security services
1091-SOZGA,Female,0,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),99.8,5515.45,0,0.4269426976986868,0,Medium Risk,True,Monitor,Conduct plan review or provide personalized retention offer | Offer trial or discounted technical support | Promote bundled online security services
2928-HLDBA,Female,0,No,No,6,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.7,112.75,0,0.32981090771297317,0,Medium Risk,False,Monitor,Offer incentive to move to a long-term contract | Provide proactive onboarding and early engagement
6497-TILVL,Female,0,Yes,Yes,7,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,50.7,350.35,0,0.3732600771676839,0,Medium Risk,False,Monitor,Offer incentive to move to a long-term contract | Provide proactive onboarding and early engagement | Offer trial or discounted technical support
7219-TLZHO,Female,0,Yes,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.85,62.9,0,0.3011922054046855,0,Medium Risk,False,Monitor,Offer incentive to move to a long-term contract | Provide proactive onboarding and early engagement
4622-YNKIJ,Male,0,No,No,33,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,88.95,3027.65,0,0.2706694714911235,0,Medium Risk,False,Monitor,Encourage automatic payment adoption
6734-PSBAW,Male,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),23.55,1723.95,0,0.013831992297801911,0,Low Risk,False,Low Priority,Use loyalty and customer-engagement campaign
3930-ZGWVE,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.75,19.75,0,0.3937549138366786,0,Medium Risk,False,Monitor,Offer incentive to move to a long-term contract | Provide proactive onboarding and early engagement
2639-UGMAZ,Male,1,No,No,71,No,No phone service,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,56.45,3985.35,0,0.16867280276300856,0,Low Risk,False,Low Priority,Encourage automatic payment adoption | Offer trial or discounted technical support
2876-GZYZC,Female,0,No,No,13,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.95,1215.65,0,0.8749116141633342,1,Very High Risk,False,Priority 2,Offer incentive to move to a long-term contract | Encourage automatic payment adoption | Offer trial or discounted technical support
