TenureSegment,ChargeSegment,Contract,Total_Customers,Churned_Customers,Churn_Rate,Average_Monthly_Charges,Average_Total_Charges,Churn_Rate_Percentage
13-24 Months,Medium-Low,One year,63,8,0.12698412698412698,56.37698412698413,1080.8626984126986,12.7
13-24 Months,Medium-High,One year,27,3,0.1111111111111111,79.92222222222223,1623.7537037037036,11.11
61-72 Months,Medium-High,One year,63,6,0.09523809523809523,80.46428571428571,5329.155555555555,9.52
49-60 Months,Medium-Low,One year,78,7,0.08974358974358974,57.406410256410254,3143.3384615384616,8.97
61-72 Months,Medium-High,Month-to-month,24,2,0.08333333333333333,83.25833333333334,5394.29375,8.33
25-48 Months,Medium-Low,One year,152,11,0.07236842105263158,56.16776315789474,2043.952302631579,7.24
61-72 Months,High,Two year,357,22,0.06162464985994398,105.24327731092437,7330.92969187675,6.16
0-12 Months,Low,One year,83,5,0.060240963855421686,21.354819277108433,151.83253012048192,6.02
25-48 Months,High,Two year,34,2,0.058823529411764705,102.96617647058824,4180.247058823529,5.88
49-60 Months,Medium-High,One year,56,3,0.05357142857142857,79.52410714285715,4304.541964285714,5.36
49-60 Months,Low,One year,48,2,0.041666666666666664,22.197916666666668,1174.1072916666667,4.17
61-72 Months,Medium-Low,Two year,156,5,0.03205128205128205,58.325,3984.9833333333336,3.21
25-48 Months,Low,One year,139,4,0.02877697841726619,22.352877697841727,806.1226618705036,2.88
25-48 Months,Medium-High,Two year,35,1,0.02857142857142857,79.36714285714285,3181.657142857143,2.86
49-60 Months,Low,Two year,117,3,0.02564102564102564,21.532478632478632,1185.8512820512822,2.56
25-48 Months,Medium-Low,Two year,43,1,0.023255813953488372,55.019767441860466,2201.138372093023,2.33
61-72 Months,Medium-Low,One year,50,1,0.02,56.957,3777.077,2.0
61-72 Months,Medium-High,Two year,225,4,0.017777777777777778,81.76666666666667,5642.262,1.78
49-60 Months,Medium-Low,Two year,60,1,0.016666666666666666,58.917500000000004,3249.3424999999997,1.67
25-48 Months,Low,Two year,162,2,0.012345679012345678,21.30493827160494,820.0135802469136,1.23
13-24 Months,Low,One year,95,1,0.010526315789473684,20.351578947368424,383.6510526315789,1.05
0-12 Months,Low,Two year,51,0,0.0,21.311764705882354,157.24117647058824,0.0
61-72 Months,Low,One year,29,0,0.0,22.596551724137928,1488.0241379310344,0.0
61-72 Months,Low,Two year,248,0,0.0,22.559274193548386,1546.6225806451614,0.0
61-72 Months,Medium-Low,Month-to-month,11,0,0.0,53.63636363636363,3588.9136363636367,0.0
49-60 Months,Medium-High,Two year,51,0,0.0,80.49705882352941,4416.262745098039,0.0
13-24 Months,Low,Two year,67,0,0.0,22.03955223880597,421.51417910447765,0.0
0-12 Months,Medium-Low,Two year,12,0,0.0,52.979166666666664,271.9375,0.0
13-24 Months,High,Two year,2,0,0.0,93.82499999999999,2230.875,0.0
0-12 Months,Medium-High,Two year,5,0,0.0,76.34,270.51,0.0
13-24 Months,Medium-High,Two year,6,0,0.0,78.96666666666667,1421.5333333333335,0.0
13-24 Months,Medium-Low,Two year,15,0,0.0,51.3,995.95,0.0
49-60 Months,Low,Month-to-month,7,0,0.0,28.578571428571426,1471.0928571428572,0.0
